epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.18352,2.03131,2.94027,1.76037,0.03065,0.9596,0.62977,0.38769,1.08479,2.5772,1.09153,0.00026,0.00026,0.00026
2,12.5431,1.34072,1.96507,1.2057,0.03108,0.97306,0.641,0.42086,1.1851,2.39069,1.08228,0.000529308,0.000529308,0.000529308
3,17.7878,1.24801,1.29136,1.14702,0.85111,0.55387,0.70307,0.4807,1.10238,1.71128,1.10228,0.000787528,0.000787528,0.000787528
4,22.0291,1.1337,1.071,1.12772,0.85048,0.6835,0.81636,0.55584,1.06024,1.52084,1.03818,0.00103466,0.00103466,0.00103466
5,27.0963,1.12915,0.99805,1.09249,0.92576,0.88164,0.94324,0.67129,0.96875,1.09803,1.00709,0.0012707,0.0012707,0.0012707
6,31.7465,1.13669,0.98503,1.11348,0.893,0.89394,0.94012,0.64349,1.07033,1.04154,1.06828,0.00149566,0.00149566,0.00149566
7,35.9347,1.0567,0.9105,1.08819,0.91877,0.88384,0.94056,0.68878,0.96135,1.0002,1.03574,0.00170953,0.00170953,0.00170953
8,41.4201,1.04958,0.89587,1.0598,0.91551,0.91414,0.94336,0.68961,0.9214,0.84232,1.02829,0.0017228,0.0017228,0.0017228
9,45.6657,1.02737,0.84721,1.04884,0.89071,0.91927,0.94482,0.70524,0.9104,0.79357,1.02634,0.0016832,0.0016832,0.0016832
10,49.9442,0.99337,0.84306,1.05086,0.89512,0.90518,0.95468,0.71569,0.87406,0.81462,1.01523,0.0016436,0.0016436,0.0016436
11,55.2697,0.98277,0.82791,1.05361,0.92862,0.91987,0.96422,0.73216,0.86235,0.74254,1.01169,0.001604,0.001604,0.001604
12,59.4651,1.01977,0.81221,1.0578,0.93036,0.91077,0.95163,0.72298,0.86687,0.72502,1.01098,0.0015644,0.0015644,0.0015644
13,64.995,0.97759,0.78189,1.04371,0.90071,0.94689,0.95714,0.72422,0.87409,0.6958,1.0091,0.0015248,0.0015248,0.0015248
14,70.2031,0.96047,0.75522,1.02683,0.92711,0.92929,0.9681,0.73474,0.84627,0.64249,1.01246,0.0014852,0.0014852,0.0014852
15,74.3717,0.94933,0.76126,1.04238,0.92602,0.92929,0.96602,0.72832,0.85314,0.6442,1.00815,0.0014456,0.0014456,0.0014456
16,79.1232,0.97322,0.78316,1.03653,0.92202,0.93939,0.9722,0.74837,0.80399,0.6302,0.98049,0.001406,0.001406,0.001406
17,83.7133,0.92929,0.75158,1.02356,0.91796,0.92303,0.96313,0.7364,0.80907,0.66796,0.99191,0.0013664,0.0013664,0.0013664
18,87.9031,0.87882,0.70185,1.01746,0.92973,0.93556,0.97101,0.74549,0.80481,0.61567,0.99325,0.0013268,0.0013268,0.0013268
19,93.2309,0.89203,0.69666,1.02128,0.91831,0.94613,0.96961,0.75307,0.78364,0.587,0.97913,0.0012872,0.0012872,0.0012872
20,97.5692,0.92603,0.70736,1.01006,0.917,0.94949,0.96611,0.73972,0.8217,0.60152,0.99456,0.0012476,0.0012476,0.0012476
21,101.77,0.95676,0.725,1.02364,0.91487,0.94074,0.95958,0.73691,0.82243,0.64372,1.03352,0.001208,0.001208,0.001208
22,107.05,0.90461,0.6923,1.01959,0.92299,0.92816,0.95557,0.73915,0.797,0.58339,0.99624,0.0011684,0.0011684,0.0011684
23,111.203,0.87586,0.68899,1.00347,0.93688,0.92453,0.9648,0.75963,0.7649,0.56255,0.9717,0.0011288,0.0011288,0.0011288
24,115.432,0.8866,0.6845,1.00053,0.94047,0.93098,0.97075,0.75624,0.79569,0.56636,0.97378,0.0010892,0.0010892,0.0010892
25,120.68,0.87926,0.67411,1.00927,0.94352,0.92256,0.96687,0.76403,0.76131,0.54904,0.97396,0.0010496,0.0010496,0.0010496
26,124.938,0.85088,0.6587,1.00156,0.94288,0.92088,0.97115,0.7695,0.76073,0.553,0.98203,0.00101,0.00101,0.00101
27,129.133,0.83269,0.62949,0.99785,0.9417,0.92454,0.96969,0.75806,0.74607,0.53331,0.9774,0.0009704,0.0009704,0.0009704
28,134.478,0.86377,0.65052,1.01091,0.92672,0.94108,0.96683,0.76049,0.79096,0.54368,0.96506,0.0009308,0.0009308,0.0009308
29,138.59,0.88309,0.66444,1.00799,0.91611,0.94108,0.96769,0.75842,0.75622,0.54797,0.98161,0.0008912,0.0008912,0.0008912
30,142.875,0.87813,0.64508,1.00292,0.91519,0.92652,0.96962,0.76012,0.76816,0.55377,0.97733,0.0008516,0.0008516,0.0008516
31,148.107,0.85963,0.62725,1.01442,0.93691,0.92593,0.96889,0.75902,0.76945,0.54558,0.98627,0.000812,0.000812,0.000812
32,152.304,0.85093,0.64745,1.0023,0.9181,0.94362,0.97401,0.77702,0.726,0.52316,0.96965,0.0007724,0.0007724,0.0007724
33,156.945,0.82393,0.60894,0.98601,0.92422,0.94613,0.9727,0.76848,0.73472,0.51891,0.96831,0.0007328,0.0007328,0.0007328
34,161.65,0.80387,0.60513,0.98106,0.93989,0.9213,0.96929,0.77162,0.72709,0.51487,0.96471,0.0006932,0.0006932,0.0006932
35,165.78,0.83407,0.61087,1.00077,0.90812,0.94849,0.97134,0.77022,0.72589,0.5066,0.97529,0.0006536,0.0006536,0.0006536
36,170.856,0.83905,0.63094,0.99387,0.93862,0.93266,0.9752,0.77765,0.72386,0.49993,0.9658,0.000614,0.000614,0.000614
37,175.25,0.79329,0.60304,0.98049,0.92662,0.93536,0.96964,0.77505,0.72082,0.50898,0.96346,0.0005744,0.0005744,0.0005744
38,179.404,0.81361,0.59828,0.97762,0.92294,0.94613,0.97044,0.77662,0.70269,0.4878,0.9635,0.0005348,0.0005348,0.0005348
39,184.626,0.80782,0.60012,0.98184,0.93768,0.93266,0.9757,0.77888,0.71965,0.48687,0.96668,0.0004952,0.0004952,0.0004952
40,188.816,0.78695,0.58798,0.97763,0.93777,0.9386,0.97507,0.78101,0.69917,0.49329,0.96147,0.0004556,0.0004556,0.0004556
41,194.792,0.77279,0.59022,0.97589,0.93547,0.92743,0.97632,0.78896,0.70258,0.52541,0.96049,0.000416,0.000416,0.000416
42,199.898,0.75743,0.58349,0.97851,0.92503,0.93472,0.97878,0.79003,0.6903,0.49375,0.95876,0.0003764,0.0003764,0.0003764
43,203.913,0.75486,0.57205,0.97373,0.92837,0.93816,0.97851,0.78708,0.70622,0.49927,0.96614,0.0003368,0.0003368,0.0003368
44,208.11,0.76005,0.5673,0.9786,0.93016,0.92761,0.97656,0.78916,0.70097,0.49167,0.96547,0.0002972,0.0002972,0.0002972
45,213.117,0.75342,0.55901,0.96356,0.92714,0.93603,0.977,0.78865,0.69824,0.48111,0.95896,0.0002576,0.0002576,0.0002576
46,217.143,0.74195,0.54952,0.95455,0.93687,0.92433,0.97841,0.79564,0.68928,0.47349,0.95528,0.000218,0.000218,0.000218
47,221.549,0.73477,0.54461,0.96207,0.91642,0.94949,0.9782,0.79477,0.68032,0.46474,0.95801,0.0001784,0.0001784,0.0001784
48,226.271,0.72613,0.53649,0.95732,0.9025,0.96617,0.97704,0.79256,0.68911,0.46409,0.96024,0.0001388,0.0001388,0.0001388
49,230.248,0.7314,0.54366,0.95979,0.90557,0.96871,0.97739,0.79557,0.6773,0.45646,0.95623,9.92e-05,9.92e-05,9.92e-05
50,234.36,0.71811,0.52636,0.94943,0.93306,0.94108,0.9783,0.79933,0.66778,0.4525,0.95435,5.96e-05,5.96e-05,5.96e-05
